.metric,.estimator,.estimate,Round
rmse,standard,10650.55897002209,1
rmse,standard,7924.1101612447555,2
rmse,standard,4458.326868620259,3
rmse,standard,14043.033014919587,4
rmse,standard,3231.9157424519763,5
rmse,standard,11052.77983035791,6
rmse,standard,6552.296057383665,7
rmse,standard,8352.417303890334,8
rmse,standard,3579.9786238128017,9
rmse,standard,15213.622316848372,10
rmse,standard,11813.189316745946,11
rmse,standard,10619.87979400332,12
rmse,standard,6549.684504503373,13
rmse,standard,12903.683303838621,14
rmse,standard,812.7241357425662,15
rmse,standard,4446.714907562356,16
rmse,standard,14728.118234427182,17
rmse,standard,8315.019740203996,18
rmse,standard,9477.0709956544,19
rmse,standard,8089.610620917256,20
rmse,standard,15146.493468517634,21
rmse,standard,8886.925533361315,22
